
Pkg                                                          Img                               Frames Size      AvgKB
---                                                          ---                               ------ ----      -----
sprite_character_demonicswordsman_effect.NPK                 upperslash.img                         9 81 x 155    9.4
sprite_character_demonicswordsman_effect_blastblood.NPK      blastbloodhit.img                     15 80 x 49    12.1
sprite_character_demonicswordsman_effect_bloodyrave.NPK      lslash-dodge.img                       6 145 x 194  47.6
sprite_character_demonicswordsman_effect_chargecrash.NPK     down-slash.img                         5 54 x 250     20
sprite_character_demonicswordsman_effect_chargecrash.NPK     up-slash.img                           5 57 x 48    11.2
sprite_character_demonicswordsman_effect_flowmindpowerup.NPK flow_mind_power_up_hit_effect.img      4 188 x 23    3.2
sprite_character_demonicswordsman_effect_illusionslash.NPK   slash.img                             35 178 x 168   9.9
sprite_character_demonicswordsman_effect_kalla.NPK           explo_bg_dodge.img                     8 66 x 66     2.6
sprite_character_demonicswordsman_effect_kalla.NPK           explo_bg_normal.img                    6 107 x 109  12.2
sprite_character_demonicswordsman_effect_kalla.NPK           explo-dodge.img                       10 234 x 244  52.4
sprite_character_demonicswordsman_effect_kalla.NPK           explo-normal.img                       4 126 x 143  19.3
sprite_character_demonicswordsman_effect_moonslash.NPK       slash-1.img                            5 253 x 197  22.5
sprite_character_demonicswordsman_effect_moonslash.NPK       slash-2.img                            5 204 x 6    28.9
sprite_character_demonicswordsman_effect_reflectguard.NPK    slash.img                              7 39 x 34     4.9
sprite_character_demonicswordsman_effect_shockwavearea.NPK   wave-explode.img                      11 220 x 220  59.6
sprite_character_demonicswordsman_effect_wavespinarea.NPK    boom_dodge.img                        10 172 x 163  56.6
sprite_character_demonicswordsman_effect_wavespinarea.NPK    boom_normal.img                       11 149 x 148  42.3
sprite_character_fighter_effect_at108stairsex.NPK            hit_dodge.img                          6 171 x 168  19.9
sprite_character_fighter_effect_at108stairsex.NPK            two_hit_dodge.img                      4 139 x 37    1.8
sprite_character_fighter_effect_atcrashlowkick               1hit.img                               4 145 x 145  19.8
sprite_character_fighter_effect_atcrashlowkick               2hit.img                               4 172 x 145    21
sprite_character_fighter_effect_atcrashrope                  hit_dodge.img                         12 183 x 180   9.3
sprite_character_fighter_effect_atcrashrope                  hit_piece_dodge.img                    4 166 x 103   7.9
sprite_character_fighter_effect_atdashafterdash              1hit_dodge.img                         4 80 x 83     7.1
sprite_character_fighter_effect_atdashafterdash              2hit_dodge.img                         5 94 x 103   10.8
sprite_character_fighter_effect_atenchantpoison              poisonexplosiondodge.img               4 108 x 89    5.5
sprite_character_fighter_effect_atflamelegs                  boom_dodge.img                        11 142 x 128  37.3
sprite_character_fighter_effect_atflamelegs                  hit_dodge.img                          7 164 x 120  27.3
sprite_character_fighter_effect_atflamelegs                  hit_normal.img                         4 163 x 150  12.3
sprite_character_fighter_effect_athurricanespear             hit_effect_dodge.img                   4 12 x 216   15.7
sprite_character_fighter_effect_atlegsuplex                  dodge_floor_boom_front.img             5 187 x 179  19.4
sprite_character_fighter_effect_atlightningdragon            shockwave.img                         12 3 x 154     7.2
sprite_character_fighter_effect_atlightningdragon            white_dust_dodge.img                   2 202 x 132  12.2
sprite_character_fighter_effect_atmount                      hit_dodge.img                          5 37 x 35    10.1
sprite_character_fighter_effect_atspire                      rising_hit_dodge.img                   5 172 x 185    26
sprite_character_fighter_effect_atspire                      spire_shockwave_up_dodge.img           5 81 x 82    11.7
sprite_character_fighter_effect_atsuplexcyclone              floor_hit_dodge.img                    6 198 x 191    27
sprite_character_fighter_effect_atsuplexcyclone              floor_hit_sub_dodge.img                2 159 x 49   23.5
sprite_character_fighter_effect_atsuplexcyclone              hit_light_dodge.img                    3 208 x 206  28.4
sprite_character_fighter_effect_atsuplexcyclone              last_hit_back_dodge.img                4 233 x 90    6.8
sprite_character_fighter_effect_atsuplexcyclone              last_hit_front_dodge.img               5 79 x 101      3
sprite_character_fighter_effect_attyphoon                    15_dg_explosion.img                    4 58 x 209   55.9
sprite_character_fighter_effect_atwildcannonspike            spark_dodge.img                        3 241 x 176  16.2
sprite_character_fighter_effect_blockbusterex                block1spark.img                        4 114 x 42    2.6
sprite_character_fighter_effect_blockbusterex                block3spark.img                        4 131 x 73      4
sprite_character_fighter_effect_chaindestruction             00_shock.img                           4 82 x 18    22.8
sprite_character_fighter_effect_chaindestruction             02_shock.img                           4 64 x 228   13.7
sprite_character_fighter_effect_chaindestruction             03_shock.img                          14 132 x 28   63.2
sprite_character_fighter_effect_dashpunchex                  hit.img                               10 145 x 162  25.1
